회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
노드메이슨,317860,기타 화학제품 제조업,헉슬리/Huxley 화장품(스킨케어 스페셜/스킨케어베이직),2019-12-06,12월,이병훈 / 구자풍,http://www.huxley.co.kr,서울특별시
타스컴,336040,자연과학 및 공학 연구개발업,당뇨질환 세포치료제 / 당뇨관리 의료기기,2019-12-02,12월,이인근,http://www.yidobio.com,경기도
진코스텍,250030,기타 화학제품 제조업,"마스크팩 ODM/OEM, 하이드로겔 마스크팩",2019-11-29,12월,김임준,http://www.jincostech.com,경기도
유엑스엔,337840,의료용 기기 제조업,"혈당센서, 혈당측정기",2019-11-28,12월,박세진,http://uxn.co.kr,경기도
한국미라클피플사,331660,기타 화학제품 제조업,"은나노스텝, 닥터오렌지 등",2019-10-28,12월,이호경,http://www.kmpc.co.kr,경기도
엔지브이아이,093510,자동차 신품 부품 제조업,천연가스자동차용 연료저장장치 등,2019-09-30,12월,정수영,,강원도
아퓨어스,149300,기초 의약물질 및 생물학적 제제 제조업,"실험동물, 연구용피부 및 연구용세포, 연구용역",2019-09-03,12월,최선덕,http://www.apures.com,경기도
케어룸의료산업,327970,의료용 기기 제조업,"의료용침대, 모션베드, 기타 의료기기 등",2019-08-05,12월,곽진태,http://ynbed.co.kr,경상북도
펨토바이오메드,327610,자연과학 및 공학 연구개발업,CellShot 플랫폼 / CellShot 기반 항암백신치료 제품군 / CellShot 기반 자가면역질환치료 제품군 / CellShot 기반 바이오의약품 생산세포주 제품군,2019-07-10,12월,이상현,http://www.femtobiomed.com,경기도
티티씨디펜스,309900,"그외 기타 전문, 과학 및 기술 서비스업","Anti-Drone, UGV, 방폭블록, 방검조끼 등",2019-06-27,12월,윤성욱,http://ttcdefence.com/,경기도
다원넥스뷰,323350,사진장비 및 광학기기 제조업,레이저 장비,2019-05-21,12월,남기중,http://www.nexview.co.kr,경기도
이노벡스,279060,전자부품 제조업,"TAS(지하철터널내영상광고장치), WING TV(회전식 LED바를 이용한 영상광고장치)",2019-04-12,12월,채균,http://www.innovex.co.kr,경기도
엘에이티,311060,특수 목적용 기계 제조업,"In-Line Sputter, OLED 패널 청정물류 이송 장비 등",2018-12-28,12월,박강일,http://www.latplasma.com,경기도
테크엔,308700,전구 및 조명장치 제조업,LED조명장치,2018-12-21,12월,이영섭,http://www.techen.co.kr,대구광역시
프로테옴텍,303360,의료용품 및 기타 의약 관련제품 제조업,"알러지진단키트, 임신진단테스트기, 면역진단키트",2018-12-19,12월,임국진,http://www.proteometech.com/,서울특별시
에이펙스인텍,207490,전구 및 조명장치 제조업,LED조명장치 등,2018-11-28,12월,김권진,http://www.apexint.co.kr,경상북도
나라소프트,288490,소프트웨어 개발 및 공급업,"체육용솔루션(NS트루골프, NS테니스, NS축구, NS승마 등)",2018-11-23,12월,김호상,http://www.narasoft.com,서울특별시
엔솔바이오사이언스,140610,자연과학 및 공학 연구개발업,"퇴행성디스크 치료제, 골관절염 치료제, 동물용 골관절염 치료제",2018-09-10,12월,김해진,http://www.ensolbio.co.kr,대전광역시
더콘텐츠온,302920,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화제작, 투자, 배급 및 영화디지털배급",2018-08-13,12월,김상윤,http://www.tcokr.com,서울특별시
테크트랜스,258050,기타 금속 가공제품 제조업,비철금속표면처리장비 및 솔루션,2018-07-13,12월,유재용,http:// techtrans.co.kr,경상북도
엘리비젼,276240,영상 및 음향기기 제조업,"디지털 사이니지, 키오스크 등",2018-07-05,12월,안덕근,http://www.elivision.com/,인천광역시
지앤이헬스케어,299480,기타 섬유제품 제조업,면생리대,2018-06-29,12월,장영민,http://www.hannahpad.com,경기도
에스엠비나,299670,봉제의복 제조업,여성의류,2018-06-25,12월,윤동률,http://www.smvina.co.kr,서울특별시
디피코,163430,자동차 차체 및 트레일러 제조업,"전기화물자동차, 자동차 엔지니어링 서비스, 의료용전동스쿠터 등",2018-05-16,12월,송신근,http://www.dpeco.com,강원도
에스제이켐,217910,기초 화학물질 제조업,"수처리응집제, 폴리프로필렌",2018-04-27,12월,배동수,http://www.sj-chem.com/,전라북도
라이프사이언스테크놀로지,285770,소프트웨어 개발 및 공급업,생체신호모듈 및 패치형 체온 측정시스템 등,2017-12-21,12월,김정환,http://www.lstgrp.com,서울특별시
바이오시네틱스,281310,자연과학 및 공학 연구개발업,"나노의약품 및 소재, 약물전달시스템(DDS)",2017-12-15,12월,김갑식,http://www.bio-synectics.com,서울특별시
씨알푸드,236030,"곡물가공품, 전분 및 전분제품 제조업","시리얼, 시리얼바",2017-12-14,12월,이상범,http://www.crfood.co.kr,충청북도
EMB,278990,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광ESS,휴대폰 액세서리",2017-10-31,12월,홍지태,http://www.fineemtech.co.kr,경기도
탑선,180060,기타 전기장비 제조업,태양광 모듈,2017-10-27,12월,윤정택,http://topsun.kr,전라남도
이십일스토어,270020,기타 비금속 광물제품 제조업,"규석, 골재, 석재(조경석)",2017-09-08,12월,강두원,http://www.21stone.co.kr,강원도
시그넷이브이,260870,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기차 충전기,2017-08-30,12월,-,http://www.signetev.com,전라남도
명진홀딩스,267060,수산물 가공 및 저장 처리업,"연어 가공 식품(필렛, HMR)",2017-08-24,12월,정상익,http://www.salmonkorea.com,서울특별시
루켄테크놀러지스,162120,기타 전기장비 제조업,반도체 및 디스플레이 검사장비 및 검사부품,2017-07-25,12월,안윤태,http://www.luken.co.kr,경기도
메디안디노스틱,233250,의료용품 및 기타 의약 관련제품 제조업,동물질병 체외진단키트 및 진단용 시약,2017-06-26,12월,오진식,http://www.mediandiagnostics.com,강원도
다이오진,271850,자연과학 및 공학 연구개발업,"분자진단서비스, 분자진단Kit",2017-06-19,12월,임성식,http://www.diogene.co.kr,경기도
에스알바이오텍,270210,기타 화학제품 제조업,화장품 제조 및 유통,2017-06-15,12월,이소형,,경기도
뿌리깊은나무들,266170,"영화, 비디오물, 방송프로그램 제작 및 배급업",TV 드라마 등,2017-06-09,12월,이재원,http://www.redwoods.co.kr,서울특별시
앙츠,267810,컴퓨터 및 통신장비 수리업,기술서비스,2017-04-28,12월,박창진,http://www.iantz.co.kr,서울특별시
엠앤씨생명과학,225860,기타 화학제품 제조업,"무합성화장품, 건강기능식품",2017-04-25,12월,김현철,http://www.mncls.co.kr,경기도
