current_price,volume,trade_price,date,start_price,high_price,low_price
512.48999,78100,,19980212,516.5,516.5,497.269989
506.200012,91700,,19980213,519.469971,529.140015,506.200012
476.980011,69400,,19980216,482.929993,486.98999,469.859985
471.730011,58900,,19980217,475.880005,475.880005,462.26001
487.730011,68800,,19980218,475.160004,492.709991,472.619995
513.450012,78000,,19980219,488.559998,516.690002,488.559998
522.130005,83900,,19980220,518.710022,536.630005,518.710022
543.059998,83500,,19980223,537.549988,553.530029,537.549988
540.890015,77000,,19980224,541.580017,546.330017,534.070007
516.380005,81900,,19980225,539.380005,547.789978,516.099976
524.97998,71700,,19980226,516.719971,531.409973,507.589996
548.419983,85900,,19980227,527.400024,551.190002,527.400024
574.349976,99900,,19980302,562.659973,581.119995,562.640015
570.890015,108900,,19980303,577.23999,591.700012,567.549988
572.76001,86400,,19980304,570.330017,572.76001,553.25
535.679993,94300,,19980305,570.130005,570.130005,535.679993
522.549988,78400,,19980306,530.76001,535.630005,517.059998
507.709991,57500,,19980309,526.400024,531.530029,507.709991
525.559998,58400,,19980310,507.820007,525.559998,501.839996
531.049988,70200,,19980311,522.059998,540.940002,518.309998
535.840027,70500,,19980312,534.950012,544.590027,534.539978
536.159973,86400,,19980313,537.840027,540.090027,521.799988
528.880005,73100,,19980316,535.599976,539.539978,528.869995
515.51001,74500,,19980317,528.539978,528.539978,513.440002
518.080017,67800,,19980318,516,526.77002,510.869995
521.72998,65300,,19980319,518,525.119995,518
525.950012,68500,,19980320,522.380005,530.400024,522.380005
511.899994,76200,,19980323,521.909973,522.840027,511.890015
508.429993,73500,,19980324,512.799988,513.369995,506.100006
510.140015,73900,,19980325,509.25,512.849976,503.73999
501.130005,71800,,19980326,508.890015,508.890015,498.429993
503.079987,62900,,19980327,501.200012,503.079987,493.950012
482.329987,59000,,19980330,493.049988,493.049988,479.519989
481.040009,59400,,19980331,482.910004,490.309998,481.040009
468.220001,56200,,19980401,482.880005,482.880005,468.220001
453.660004,61000,,19980402,464.869995,466.339996,450.25
434.450012,63200,,19980403,449.640015,450.73999,421.920013
435.920013,50100,,19980406,441.079987,441.880005,431.869995
459.579987,59000,,19980407,437.709991,459.579987,437.709991
455.529999,61900,,19980408,458.959991,465.820007,455.109985
468.109985,60700,,19980409,467.98999,475.029999,465.48999
468.290009,54000,,19980410,467.230011,470.049988,463.730011
494.890015,69800,,19980413,488.839996,498.709991,486.130005
467.630005,52900,,19980414,491.190002,491.190002,467.070007
